,Computational Science & Engr,Computational Science & Engr,Computational Science & Engr,Computational Science & Engr,Computational Science & Engr,Computational Science & Engr,Computational Science & Engr,Computational Science & Engr,Computational Science & Engr,Computational Science & Engr,Computational Science & Engr,Computational Science & Engr,Computational Science & Engr,Computational Science & Engr,Computational Science & Engr,Computational Science & Engr,Computational Science & Engr,Computational Science & Engr,Computational Science & Engr,Computational Science & Engr,Computational Science & Engr,Computational Science & Engr,Computational Science & Engr
,Select,CRN,Subj,Crse,Sec,Cmp,Bas,Cred,Title,Days,Time,Cap,Act,Rem,WL Cap,WL Act,WL Rem,Instructor,Location,Attribute,Unnamed: 20_level_1,Unnamed: 21_level_1,Unnamed: 22_level_1
0,SR,27786,CSE,6040,OAN,O,L,3.0,Computing for Data Analy,,TBA,1400,380,1020,50,0,50,"Vuduc, R. (P)",TBA,,,,
1,SR,32201,CSE,6220,O01,O,L,3.0,High Perform Computing,,TBA,250,49,201,999,0,999,"Vuduc, R. (P), Becker, A.",TBA,,,,
2,SR,26847,CSE,6242,O01,O,L,3.0,Data & Visual Analytics,,TBA,400,41,359,999,0,999,"Chau, D. (P), Roozbahani, M.",TBA,,,,
3,SR,28523,CSE,6242,OAN,O,L,3.0,Data & Visual Analytics,,TBA,650,508,142,999,0,999,"Chau, D. (P)",TBA,,,,
4,SR,27545,CSE,6250,O01,O,L,3.0,Big Data Health,,TBA,300,18,282,999,0,999,"Sun, J. (P)",TBA,,,,
5,C,27787,CSE,6250,OAN,O,L,3.0,Big Data Health,,TBA,50,50,0,50,4,46,"Sun, J. (P)",TBA,,,,
6,SR,35226,CSE,6742,O01,O,L,3.0,"Mod, Sim&Military Gaming",,TBA,50,27,23,50,0,50,"Borowitz, M. (P)",TBA,,,,
7,SR,28524,CSE,6748,OAN,O,L,6.0,Appld Analytics Pract,,TBA,200,25,175,50,0,50,"Sokol, J. (P)",TBA,,,,
8,Computer Science,Computer Science,Computer Science,Computer Science,Computer Science,Computer Science,Computer Science,Computer Science,Computer Science,Computer Science,Computer Science,Computer Science,Computer Science,Computer Science,Computer Science,Computer Science,Computer Science,Computer Science,Computer Science,Computer Science,Computer Science,Computer Science,Computer Science
9,Select,CRN,Subj,Crse,Sec,Cmp,Bas,Cred,Title,Days,Time,Cap,Act,Rem,WL Cap,WL Act,WL Rem,Instructor,Location,Attribute,,,
10,SR,26294,CS,6035,O01,O,L,3.0,Intro To Info Security,,TBA,700,24,676,999,0,999,"Lee, W. (P)",TBA,,,,
11,SR,29565,CS,6035,OCY,O,L,3.0,Intro To Info Security,,TBA,300,28,272,50,0,50,"Lee, W. (P)",TBA,,,,
12,SR,28133,CS,6200,O01,O,L,3.0,Graduate Intro to OS,,TBA,750,38,712,999,0,999,"Gavrilovska, A. (P)",TBA,,,,
13,SR,25802,CS,6210,O01,O,L,3.0,Adv Operating Systems,,TBA,275,11,264,999,0,999,"Ramachandran, U. (P)",TBA,,,,
14,SR,29616,CS,6210,OCY,O,L,3.0,Adv Operating Systems,,TBA,25,1,24,50,0,50,"Ramachandran, U. (P)",TBA,,,,
15,SR,29400,CS,6238,O01,O,L,3.0,Secure Computer Systems,,TBA,100,21,79,999,0,999,"Ahamad, M. (P)",TBA,,,,
16,SR,29614,CS,6238,OCY,O,L,3.0,Secure Computer Systems,,TBA,100,18,82,50,0,50,"Ahamad, M. (P)",TBA,,,,
17,SR,25803,CS,6250,O01,O,L,3.0,Computer Networks,,TBA,700,64,636,999,0,999,"Konte, M. (P)",TBA,,,,
18,SR,35113,CS,6250,OCY,O,L,3.0,Computer Networks,,TBA,50,14,36,0,0,0,"Konte, M. (P)",TBA,,,,
19,SR,32140,CS,6260,O01,O,L,3.0,Applied Cryptography,,TBA,100,18,82,999,0,999,"Boldyreva, A. (P)",TBA,,,,
20,SR,32360,CS,6260,OCY,O,L,3.0,Applied Cryptography,,TBA,100,34,66,0,0,0,"Boldyreva, A. (P)",TBA,,,,
21,SR,26848,CS,6262,O01,O,L,3.0,Network Security,,TBA,300,37,263,999,0,999,"Lee, W. (P)",TBA,,,,
22,SR,29567,CS,6262,OCY,O,L,3.0,Network Security,,TBA,100,22,78,50,0,50,"Lee, W. (P)",TBA,,,,
23,SR,28286,CS,6263,O01,O,L,3.0,Intro Cyber Phys Sys Sec,,TBA,250,16,234,999,0,999,"Beyah, R. (P)",TBA,,,,
24,SR,29744,CS,6265,O01,O,L,3.0,Info Sec Lab Binexp,,TBA,50,8,42,999,0,999,"Kim, T. (P)",TBA,,,,
25,SR,29615,CS,6265,OCY,O,L,3.0,Info Sec Lab Binexp,,TBA,100,33,67,50,0,50,"Kim, T. (P)",TBA,,,,
