,Semester,CourseId,Name,Link
0,2020 Spring,CS 6515, Intro to Graduate Algorithms ,http://omscs.gatech.edu/cs-6515-intro-graduate-algorithms
1,2020 Summer,CS 6290, High Performance Computer Architecture,http://omscs.gatech.edu/cs-6290-high-performance-computer-architecture
2,2020 Fall,CS 6200, Introduction to Operating Systems ,http://omscs.gatech.edu/cs-6200-introduction-operating-systems
3,2020 Fall,CS 6300, Software Development Process,http://omscs.gatech.edu/cs-6300-software-development-process
4,2021 Spring,CS 6250, Computer NetworksC,http://omscs.gatech.edu/cs-6250-computer-networks
5,2021 Spring,CS 6291, Embedded Systems Optimization ,http://omscs.gatech.edu/cs-6291-embedded-systems-optimization
6,2021 Summer,CSE 6220, Intro to High-Performance Computing,http://omscs.gatech.edu/cse-6220-intro-hpc
7,2021 Fall,CS 6035, Introduction to Information Security,http://omscs.gatech.edu/cs-6035-introduction-to-information-security
8,2021 Fall,CS 6265, Information Security LabC,http://omscs.gatech.edu/cs-6265-information-security-lab
9,2022 Spring,CS 6457, Video Game Design,http://omscs.gatech.edu/cs-6457-video-game-design
